Username,location,date,content,Rating
Stephanie,US,2 days agoVerified,"Perfect imperfection I ordered the “imperfect hearts” and they were absolutely PERFECT!  I lost a beautiful friend, and I ordered the hearts as a special reminder to share with the friends and sisters that cared for her during her illness. The hearts came with an unexpected message card that summed up beautifully how we are all perfectly imperfect!  I just loved how unique each heart was, just like each one of the special ladies that cared so deeply for our friend. Date of experience: December 11, 2024",5
Lana Michalski,US,3 days agoVerified,"""Just Beautiful.""   I personally spoke with Bonnie (one of…I personally spoke with Bonnie (one of the owners) about my order.  She is so kind and personable.  You would never get that from a huge corporation.  That's why small businesses MATTER!  I ordered the olive wood hand cross and two of the chunky olive wood hearts.  They are BEAUTIFUL!  They are so smooth to the touch and the variations in the shades of the wood show the beauty of nature. She also included one of the painted hearts.  I will always use Dennehey Design.  Thank you!Date of experience: December 13, 2024",5
RAL,US,2 days agoVerified,"Great service and quality productMy order was processed quickly and the product (wooden hearts) was as pictured. Very lovely and the grain in each one was so unique. Will order other products in the future.Date of experience: December 14, 2024",5
Ginger,US,6 days agoVerified,"Sweet little cross hand painted with…Sweet little cross hand painted with sunflowers was given to my sister in California for Christmas. I was surprised to receive a free heart along with the cross ♥️Date of experience: December 11, 2024",5
Helen Cope,US,"Jan 1, 2025Verified","High quality, hand crafted itemsI am impressed by the variety of high quality, hand crafted items offered by Dennehey Design!  I love hearts of all kinds and enjoy ordering different hearts created here. Customer service, prices and shipping are excellent. I highly recommend the products at Dennehey Design!Date of experience: December 04, 2024",5
Patricia  Stevens,US,2 days agoVerified,"I always love the Dennehey productsI always love the Dennehey products, very unique and expertly designed and crafted.Date of experience: December 14, 2024",5
Wheaton MD customer,US,2 days agoVerified,"Love the quality of your productsLove the quality of your products!  I give as gifts and reminders thst I am think of my friends!  They are always well received.  Date of experience: December 14, 2024",5
Michelle Gould,US,"Jan 2, 2025Verified","I have bought several small items from…I have bought several small items from this company and decided to treat a friend to one of the small cheese boards. It took a few weeks (they ship those items when they make a batch, I believe) but boy, was it worth the wait! Beautifully crafted and almost too pretty to use. My friend loved it! Shane and Bonnie are always very responsive to any requests/concerns and even included a couple of hearts to make up for an item that had a small defect. Excellent customer service! Date of experience: December 04, 2024",5
Barbara Carruthers,US,"Jan 1, 2025Verified","Your product is beautiful and exactly…Your product is beautiful and exactly as you say it is.  I ordered 5 of the interlocking hearts as Christmas Gifts!  The symbolism can be used in many ways.  My mother passed away in July and I purchased them to give to 4 women that helped me through that difficult time.  Our bond will never be broken and I could never thank them enough for their constant presence in my life. I kept 1 for myself.  Date of experience: December 04, 2024",5
Mam Selle,US,"Dec 28, 2024Verified","Perfect in Every Way!Absolutely gorgeous. I couldn’t be more pleased with the three crosses and the three hearts. Excellent craftsmanship and so reasonably priced as a bundle. I gave these sets as Christmas gifts which included a cross and a heart for each recipient. It was a beautiful gift and so incredibly special. Very, very pleased with the items and the shipping time. Everything was wrapped and packaged very professionally. I will definitely purchase another 2 sets for upcoming gifts. Date of experience: November 29, 2024",5
Pamela Selby,US,6 days agoVerified,"Dennehey is greatDennehey is great! So helpful and understanding when I get things mixed up. They just fix it! I am so happy with all my purchases. Unique and different and filled with care. Date of experience: December 10, 2024",5
Dana Lynn,US,"Dec 30, 2024Verified","The gifts that I ordered were fantastic…The gifts that I ordered were fantastic and so wonderfully crafted. There was a bit of a problem with shipping and I contacted Mr Dennehey's customer service. They upgraded my delivery to next day shipping with no cost to me. This company appears to really care about their customers and I will definitely use them again for unique gift ideas. Date of experience: December 02, 2024",5
customer,US,"Jan 1, 2025Verified","Creative and unique itemsCreative and unique items. Great photos of their products and fast shipping. Unique and cleaver. Lived my “connected hearts” ornaments as a keepsake for my granddaughter. A+Date of experience: December 04, 2024",5
Carrie Parra,US,5 days agoVerified,"Lovely giftThe hearts that I got for my husband are very unique and beautiful.  He absolutely loved them.Date of experience: December 11, 2024",5
Alicen C,US,"Dec 18, 2024Verified","The LUVUMOR sign made from recycled…The LUVUMOR sign made from recycled license plates was even more beautiful than the product I saw on Instagram!!  There was also a cute little notecard included which was a very nice personal touch!  I love supporting small businesses like Dennehy Design for these reasons.  Also, my email inquiries were answered immediately and professionally.  I am sure my husband will treasure this gift for years to come!Date of experience: November 19, 2024",5
Lynda Diamondis,US,"Jan 2, 2025Verified","Beautifully made!Beautifully made! These hearts will be treasured by my friends, especially since they are made from the resources of the Holy Land. Date of experience: December 04, 2024",5
Cheri Steinbronn,US,"Jan 4, 2025Verified","My mom loves her Christmas piano starMy mom loves her Christmas piano star! The communication during the ordering and shipping was exceptional. Packaging was carefully done to protect the star, which was much appreciated. Highly recommend! Date of experience: December 06, 2024",5
Rachel Primus,US,"Dec 25, 2024Verified","I enjoy supporting small companies and… I enjoy supporting small companies and yours is truly special. I love the detail you put into each design. Each item is personal. I can find something for every person and event in my life  Date of experience: November 26, 2024",5
JOSEPH INZERILLO,US,"Dec 25, 2024Verified","The perfect gift for special people !I saw the photo of the conjoined wooden hearts and knew it would be the perfect gifts for my pastor and his new wife.  BUT . . . would it be as well-made and as beautiful in real-life ?   Well, you did not disappoint !It is a wonderful piece and I look forward to speaking to  Pastor Michael on Sunday !   It was the perfect gift for a fitting circumstance !   Thank you ! Date of experience: November 27, 2024",5
Customer,US,"Jan 1, 2025Verified","I have gifted your holy land hearts a…I have gifted your holy land hearts a few times over and they are always well received. A beautiful product and quick shipping.Date of experience: December 04, 2024",5
SS,US,"Dec 23, 2024Verified","Very disappointed in box I purchased to…Very disappointed in box I purchased to hold the heart cards. Top fit too tightly to remove with ease. Distressed appearance looked like tape had been used to hold to & bottom together & when removed left lighter color where tape was - did NOT look like naturally distressed wood. Junked the box. Date of experience: November 25, 2024",1
Darla Achey,US,"Dec 18, 2024Verified","Wonderful ProductsI have placed two orders now and I am absolutely thrilled with all the products.  So far I've purchased various heart designs all for gifts for my family.  The small engraved and fabric hearts are a perfect token gift for family and friends who stood by me during my three year heart trauma.  Also the holy land hearts are beautiful!  Date of experience: November 20, 2024",5
william master,US,"Jan 2, 2025Verified","Beautiful wood and detailsBeautiful wood and details.  I loved the shapes.  The card detailing the wood was from Isreal made this specialDate of experience: December 04, 2024",5
Carol Douglas,US,"Dec 26, 2024Verified","Beautiful items - quality to the utmost We ordered 2 of the music box nativity’s. My husband got me the wooden Christmas trees. I ordered the 3 olive tree hearts and the 3 key chains. Everything is excellent quality. Lots of these went into Christmas gift bags. Date of experience: November 27, 2024",5
Vicki Gizowski,US,"Dec 25, 2024Verified","Connected Hearts From The Holy Land!Dennehey Design carries unique and quality products. Their customer service is 5 star all the way, even when they had a fire they were determined to get their ordered out as soon as possible and did. Bonnie assisted me on the phone to take my order and answer  questions. She took a personal interest in my order from my first question about the item I was interested in, to little details like the items wood grain because it was going to be engraved. She also sent me a picture of several items for me to pick the item to be engraved and pictures of the lettering style to be used. I was able to approve it before It wasn't graved. It turned out beautifully! It was an anniversary gift for my son and his wife.I was able to order it wrapped in a gift box. It came with a certificate of authenticity,in the time frame, I was quoted. There website and detail of the items they carry made it easy to shop. Rather you email text or call,they will respond very quickly. I highly recommend this company. I look forward to working with them in the future!Date of experience: November 13, 2024",5
Mario Rangel,US,5 days agoVerified,"I just love your olive wooden hearts!I just love your olive wooden hearts!Everyone I’ve given them to, really loves them as well!Date of experience: December 11, 2024",5
Nicole P,US,"Jan 3, 2025Verified","Arrived quicklyArrived quickly. Nice updates from the seller. A cute extra was included in my order.Date of experience: December 06, 2024",5
GM,US,"Dec 17, 2024Verified","Unique products great customer service…Unique products and awesome customer service makes this a business that will see me buying from again and again. The gifts that I bought for my in-laws brought tears to their eyes because of the customized message that I was able to order!!!Date of experience: November 18, 2024",5
Rae Kozinsky,US,"Updated Dec 30, 2024Verified","Made with loveI have ordered many times from Dennehey Design and I am so very pleased with all the items I've purchased. Each piece is beautiful and has obviously been designed and crafted with love. I look forward to receiving notification of new products!Date of experience: November 10, 2024",5
Walter Rogers,US,3 days agoVerified,"Great experience with this company!Great experience with this company!! Highly recommended!!! Great product! Date of experience: December 13, 2024",5
Karen Fuller,US,"Jan 4, 2025Verified","Love theseLove these. The hearts make a beautiful addition to any gift!Date of experience: December 06, 2024",5
"Betty A, United States",US,"Dec 19, 2024","Over the MOON! I just received my piano heart and I’m over the moon!!! THANK YOU THANK YOU THANK YOU!!!This piece makes me so happy! The resin is so thick and that shows off the ivory and wood parts of the keys. And I wasn’t expecting numbers written on the ivory and wood and there’s even a bit of red on the wood. Your designs are so creative and top quality. I adore this art and cannot wait to find the perfect place to hang it. I recommend Dennehey Design not only for their unique art but the customer service is outstanding. I will be returning to this shop again and again!BettyDate of experience: December 16, 2024",5
Tom Johnson,US,6 days agoVerified,"Laser-engraved wooden boxThe laser-engraved wooden box was absolutely wonderful!  It was personalized and unique to the individual,  Very special indeed!!Date of experience: December 10, 2024",5
