Username,location,date,content,Rating
Woods of Windsor,US,"Jan 15, 2021Verified","My 4th chandelier from this companyMy 4th chandelier from this company, all are very beautiful, great quality and price. I bought the plug in, it has a switch to turn it off and on. The Large crystals are real, the bead strands are plastic. You cannot tell they are fake unless you look really close. I get so many compliments on my lamps, I bought the lamp shades separately from Ebay and Amazon. Fast shipping, excellent customer service. They also send extra crystals in case any thing goes wrong!:)Date of experience: January 15, 2021",5
Cristal Hamer,US,"Mar 26, 2021Verified","This cake stand is so incredibly…STRONG!This cake stand is so incredibly sturdy! My cakes are small but mighty, with LOTS of buttercream and filling. I have no worries about the stand tipping on me. Thank you for creating such a beautiful and strong stand!!! - Cristal Hamer, @OtherSideCakes on InstagramDate of experience: March 26, 2021",5
Juyoung P,US,"Updated Dec 16, 2020Verified","I ordered this items on MondayI ordered this items on Monday, and My event was on Sunday. I emailed right after I placed the order, if customer service can confirm with me that I can get it by Saturday. If not, I asked them to cancel my order. Order did not came on next Monday which is after my event. I could not able to use for my event, and it messed up all my plan. However, Now I need to pay return shipping about $80, and this is very disappointed. I told them if you can give me extra discount for this order, I was willing to take all the items. I will not recommend this Amalfi decor company anymore.Date of experience: December 16, 2020",1
Emily Howell,CA,"Jul 22, 2021Verified","Amalfi decor is amazingAmalfi decor is amazing! Not only do I love the white 27” trumpet vases for my wedding but I accidentally had them shipped to my mother’s  address in MA and when they arrived I called customer service and Maria was so pleasant and easy to deal with. She was helpful and patient and got my vases to me in all the way Canada with ease. If your wondering about this company don’t they are awesome! Products came quick with FedEx tracking. They are easy to get a hold of, no long waits on the phone. Super friendly customer service agents and competitive pricing. Got for it!Date of experience: July 22, 2021",5
Disappointed customer,US,"Oct 2, 2021Verified","I place an orderI place an order . I  made to understand that the item was in stock.  Then on the day I should have received my item that's when they sent me an email telling that my item is in some container waiting to be clear . I am highly annoyed because this is the first time ordering from this company and so far it has not been honest!!! I have a event on the 7th October I need this item .Date of experience: October 02, 2021",1
Marsha Lewis,US,"Nov 18, 2020Verified","Dealing with Amalfi Decor was greatDealing with Amalfi Decor was great!  I did have to return the item I purchased but NOT because it was not satisfactory but because it did not work for the project that I needed it for.  They gave me NO issues at all when I reached out to them that I had to return the chandelier ... which I must say was beautiful!  I will definitely keep them in mind for any future needs.Date of experience: November 18, 2020",5
Dora Jepson,US,"Jan 5, 2021Verified","I absolutely love my new chandelierI absolutely love my new chandelier, it's gorgeous! Its in my bathroom right above where I put on my makeup, not only do I have great lighting but the AMBIENCE!! And amalfi took care of a minor situation ao fast I don't want to call it a problem. Dealing with them is a situation not a problem. Can't wait to get more of their amazing glamorous stuff for my fancy bathroom!Date of experience: January 05, 2021",5
Kay,US,"Oct 14, 2020Verified","Well Worth It!I’ve never purchased from this site, so I was definitely skeptical about buying, but every single piece purchased was well worth it! Had 2 washers missing from the box, but I was (and I am still) happy about my purchase.Date of experience: October 14, 2020",5
Racquel A.,US,"Sep 27, 2021Verified","All around pleasedHad a question about delivery.  Called and actually got a person!  She was personable, helpful and gave correct info.  Got my item the day she stated.  Was packaged very nicely.  Great quality item that the bride loved for her 5 tier wedding cake!Date of experience: September 27, 2021",5
Melissa,US,"Jul 26, 2021Verified","I got the 4 Light Vintage Crystal…I got the 4 Light Vintage Crystal Plug-In Chandelier (Gold) and it is Beautiful! Unfortunately, some of the crystals had chunks of glass and/or scratches on them, and there weren't enough back-up crystals that came with it, so I reached out to the company, and Victoria was very helpful with getting a variety of crystals sent out immediately (when I say ""immediately"" I mean they were shipped over night and I had them the next day).  I was very impressed with the excellent customer service, and I'm in love with this chandelier! It looks Stunning in person!! I would definitely recommend this company.Date of experience: July 26, 2021",5
